pop_size,num_generations,mutation_rate,crossover_rate,best_distance
100,100,0.005,0.7,48487.23208712925
100,100,0.005,0.85,46992.854779127956
100,100,0.005,0.95,40788.42875929926
100,100,0.01,0.7,50572.644316775164
100,100,0.01,0.85,48969.409614934804
100,100,0.01,0.95,46347.69177428236
100,100,0.02,0.7,49178.34596117347
100,100,0.02,0.85,49130.31243349625
100,100,0.02,0.95,47367.279280139745
100,300,0.005,0.7,39575.1518241794
100,300,0.005,0.85,37292.31016738023
100,300,0.005,0.95,41299.26462635106
100,300,0.01,0.7,40286.509544230634
100,300,0.01,0.85,43343.03052267161
100,300,0.01,0.95,41052.760454412404
100,300,0.02,0.7,33809.28667299652
100,300,0.02,0.85,32370.2972965919
100,300,0.02,0.95,48270.25274915094
100,500,0.005,0.7,33740.10474663811
100,500,0.005,0.85,38521.553346930785
100,500,0.005,0.95,40437.94274246093
100,500,0.01,0.7,41720.58469001934
100,500,0.01,0.85,43402.12911713477
100,500,0.01,0.95,37664.82848476566
100,500,0.02,0.7,36124.74019258768
100,500,0.02,0.85,36863.48591705587
100,500,0.02,0.95,42270.52821055505
500,100,0.005,0.7,45322.38263737173
500,100,0.005,0.85,43875.33263479562
500,100,0.005,0.95,42045.16786586467
500,100,0.01,0.7,42045.85173343255
500,100,0.01,0.85,43131.91411490267
500,100,0.01,0.95,41522.73962601984
500,100,0.02,0.7,42434.91245598448
500,100,0.02,0.85,45278.058588553664
500,100,0.02,0.95,42350.976676170554
500,300,0.005,0.7,22541.12685827805
500,300,0.005,0.85,35581.84007690514
500,300,0.005,0.95,25314.593025484606
500,300,0.01,0.7,28034.022967093824
500,300,0.01,0.85,23785.731470982588
500,300,0.01,0.95,35987.75158458152
500,300,0.02,0.7,19628.49625189576
500,300,0.02,0.85,31892.66885228107
500,300,0.02,0.95,25881.288558991633
500,500,0.005,0.7,16628.659991886467
500,500,0.005,0.85,13808.852738625668
500,500,0.005,0.95,24229.696267663716
500,500,0.01,0.7,23184.27591828701
500,500,0.01,0.85,24490.684184648057
500,500,0.01,0.95,21584.215563174883
500,500,0.02,0.7,18696.95586636226
500,500,0.02,0.85,23301.818426134556
500,500,0.02,0.95,17106.516584753612
1000,100,0.005,0.7,41723.29252255017
1000,100,0.005,0.85,41480.95010971751
1000,100,0.005,0.95,37631.666213020915
1000,100,0.01,0.7,40355.84261681561
1000,100,0.01,0.85,42484.22971446751
1000,100,0.01,0.95,42518.236815614204
1000,100,0.02,0.7,40623.20963821601
1000,100,0.02,0.85,43482.216751379936
1000,100,0.02,0.95,44500.3114405855
1000,300,0.005,0.7,29460.658705179652
1000,300,0.005,0.85,28695.03588446478
1000,300,0.005,0.95,35515.43549943251
1000,300,0.01,0.7,31091.287240834692
1000,300,0.01,0.85,30488.19240387009
1000,300,0.01,0.95,26208.65273781532
1000,300,0.02,0.7,26620.429833353573
1000,300,0.02,0.85,31163.09593148596
1000,300,0.02,0.95,30540.617033971197
1000,500,0.005,0.7,11586.937484224498
1000,500,0.005,0.85,19613.029336179447
1000,500,0.005,0.95,2373.1181816917087
1000,500,0.01,0.7,11164.801740782088
1000,500,0.01,0.85,12364.500071299695
1000,500,0.01,0.95,19670.531923503513
1000,500,0.02,0.7,13534.621105060436
1000,500,0.02,0.85,12082.365800847329
1000,500,0.02,0.95,16060.990031833368
